Title,Genre,ReleaseDate,Runtime,IMDB Score,Language,Views,AddedDate
Kaali Khuhi,Mystery,30-10-2020,90,3.4,Hindi,393727,28-01-2023
The Call,Drama,27-11-2020,112,4.1,Korean,93103,28-01-2023
What Happened to Mr. Cha?,Comedy,01-01-2021,102,4.3,Korean,102061,28-01-2023
Fatal Affair,Thriller,16-07-2020,89,4.5,,222144,28-01-2023
Paris Is Us,Romance drama,22-02-2019,83,4.6,French,275510,28-01-2023
Sentinelle,Action,05-03-2021,80,4.7,French,241147,28-01-2023
Nobody Sleeps in the Woods Tonight,Horror,28-10-2020,103,4.8,Polish,17818,28-01-2023
The Day of the Lord,Drama,30-10-2020,93,4.9,Spanish,321933,28-01-2023
Clinical,Thriller,13-01-2017,104,5.1,English,472307,28-01-2023
Desperados,Romantic comedy,03-07-2020,106,5.2,English,632842,28-01-2023
Hubie Halloween,Comedy,07-10-2020,103,5.2,English,296853,28-01-2023
Tall Girl,Comedy-drama,13-09-2019,102,5.2,English,105081,28-01-2023
Intuition,Thriller,28-05-2020,116,5.3,Spanish,341170,28-01-2023
A Christmas Prince: The Royal Baby,Romantic comedy,05-12-2019,85,5.4,English,175067,28-01-2023
Madame Claude,Drama,02-04-2021,112,5.4,French,556097,28-01-2023
Dead Kids,Thriller,01-12-2019,94,5.5,Filipino,339797,28-01-2023
Olette,Crime drama,02-10-2020,106,5.5,,50359,28-01-2023
Brahman Naman,Comedy,07-07-2016,95,5.6,English,69651,28-01-2023
One-Way to Tomorrow,Romance,19-06-2020,90,5.6,Turkish,78328,28-01-2023
The Sleepover,Comedy,21-08-2020,103,5.6,English,855604,28-01-2023
Christmas Inheritance,Romantic drama,15-12-2017,104,5.7,English,224132,28-01-2023
Lionheart,Comedy,04-01-2019,94,5.7,English,97623,28-01-2023
The Wrong Missy,Comedy,13-05-2020,90,5.7,English,291457,28-01-2023
A Christmas Prince,Romantic comedy,17-11-2017,92,5.8,English,78043,28-01-2023
Sierra Burgess Is a Loser,Romantic comedy-drama,07-09-2018,105,5.8,English,43086,28-01-2023
The Babysitter: Killer Queen,Comedy/Horror,10-09-2020,102,5.8,English,24003,28-01-2023
Army of the Dead,Zombie/Heist,21-05-2021,148,5.9,English,355722,28-01-2023
Notes from Dunblane: Lesson from a School Shooting,Documentary,28-09-2018,23,5.9,English,97082,28-01-2023
Project Power,Superhero,14-08-2020,113,6,English,54679,28-01-2023
Between Two Ferns: The Movie,,20-09-2019,82,6.1,English,283445,28-01-2023
Holidate,Romantic comedy/Holiday,28-10-2020,104,6.1,English,121313,28-01-2023
Otherhood,Comedy,02-08-2019,100,6.1,English,3305,28-01-2023
The Perfection,Horror-thriller,24-05-2019,90,6.1,English,332234,28-01-2023
Crazy Awesome Teachers,Comedy-drama,17-08-2020,101,6.2,Indonesian,188017,28-01-2023
The Rachel Divide,Documentary,27-04-2018,104,6.2,English,664,28-01-2023
Voyuer ,Documentary,01-12-2017,95,6.2,English,440299,28-01-2023
Cargo,Drama/Horror,18-05-2018,104,6.3,English,388447,28-01-2023
Dead Kids,Thriller,01-12-2019,94,5.5,,339797,28-01-2023
Brahman Naman,Comedy,07-07-2016,95,5.6,English,69651,28-01-2023
One-Way to Tomorrow,Romance,19-06-2020,90,5.6,Turkish,78328,28-01-2023
The Sleepover,Comedy,21-08-2020,103,5.6,English,855604,28-01-2023
